상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,상의,후드,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4092733,상세페이지 참조,./images/ably/Hood/Hood_77.jpg
의류,상의,후드,28,상세페이지 참조,"[14.49222403031385, 24.553443055177794, 44.687107339275045]",https://a-bly.com/app/goods/3051263,49,./images/ably/Hood/Hood_78.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[136.47159630091292, 131.23634705915137, 125.96907504233162]",https://a-bly.com/app/goods/3026100,상세페이지 참조,./images/ably/Hood/Hood_79.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[123.40485487314623, 124.72015233991807, 123.04675989151491]",https://a-bly.com/app/goods/4376404,상세페이지 참조,./images/ably/Hood/Hood_80.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[198.46552337398157, 198.7283536585362, 197.63894817073302]",https://a-bly.com/app/goods/3402543,상세페이지 참조,./images/ably/Hood/Hood_81.jpg
의류,상의,후드,상세페이지 참조,"블랙,화이트,다크그레이","[44.79543447829086, 43.81419188113344, 44.85095294498848]",https://a-bly.com/app/goods/3922840,상세페이지 참조,./images/ably/Hood/Hood_82.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[18.572675805160543, 21.855934136583585, 20.699425561458156]",https://a-bly.com/app/goods/4403469,상세페이지 참조,./images/ably/Hood/Hood_83.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[189.02731438390566, 198.08686546859832, 201.65627908641335]",https://a-bly.com/app/goods/1374704,상세페이지 참조,./images/ably/Hood/Hood_84.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[106.07475159023868, 103.89822475366769, 100.26797073129976]",https://a-bly.com/app/goods/4196721,상세페이지 참조,./images/ably/Hood/Hood_85.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[125.66476032601058, 122.83641386931895, 112.00751485011978]",https://a-bly.com/app/goods/3586552,상세페이지 참조,./images/ably/Hood/Hood_86.jpg
의류,상의,후드,70,"블랙,그레이,카키","[200.07235186952892, 197.07858072352838, 189.43329574045015]",https://a-bly.com/app/goods/2094658,65,./images/ably/Hood/Hood_87.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[220.24842864503444, 219.54933882877523, 226.76859007385045]",https://a-bly.com/app/goods/1661425,상세페이지 참조,./images/ably/Hood/Hood_88.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[14.588550520051768, 15.002823475184812, 24.42847676395644]",https://a-bly.com/app/goods/3214128,상세페이지 참조,./images/ably/Hood/Hood_89.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[198.78127827935575, 199.29368436559432, 200.60713007974815]",https://a-bly.com/app/goods/4177225,상세페이지 참조,./images/ably/Hood/Hood_90.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[132.32505432057226, 112.87852248036083, 98.0309042286463]",https://a-bly.com/app/goods/2016947,상세페이지 참조,./images/ably/Hood/Hood_91.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[152.44618959580419, 157.50820089217925, 163.472344250902]",https://a-bly.com/app/goods/3647385,상세페이지 참조,./images/ably/Hood/Hood_92.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[78.80349855890915, 72.98284964186622, 66.09319978312973]",https://a-bly.com/app/goods/4255630,상세페이지 참조,./images/ably/Hood/Hood_93.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/3766914,상세페이지 참조,./images/ably/Hood/Hood_94.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[33.92691296477797, 33.5299450267931, 40.244272202681046]",https://a-bly.com/app/goods/4141249,상세페이지 참조,./images/ably/Hood/Hood_95.jpg
의류,상의,후드,69,"화이트, 그레이, 블랙","[137.67354241212433, 127.42926635328404, 112.18145887415886]",https://a-bly.com/app/goods/3759520,54,./images/ably/Hood/Hood_96.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[27.911892461102326, 28.477179242491985, 28.237240448874147]",https://a-bly.com/app/goods/3660511,상세페이지 참조,./images/ably/Hood/Hood_97.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[186.8943349195623, 179.4558576931794, 180.2708135055447]",https://a-bly.com/app/goods/2735598,상세페이지 참조,./images/ably/Hood/Hood_98.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[51.39084977394951, 44.785861076862005, 51.160758323050786]",https://a-bly.com/app/goods/3911230,상세페이지 참조,./images/ably/Hood/Hood_99.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[186.256446746738, 186.77307830971117, 189.92749663194084]",https://a-bly.com/app/goods/3801021,상세페이지 참조,./images/ably/Hood/Hood_100.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[129.08580858085904, 132.57591670769324, 137.11153656802253]",https://a-bly.com/app/goods/3035108,상세페이지 참조,./images/ably/Hood/Hood_101.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[36.78058199290051, 36.82304558031004, 36.75954024384933]",https://a-bly.com/app/goods/2909560,상세페이지 참조,./images/ably/Hood/Hood_102.jpg
의류,상의,후드,62,"메란지, 블루, 네이비","[140.33672165313493, 134.62446668370674, 126.41886710839653]",https://a-bly.com/app/goods/3738392,59,./images/ably/Hood/Hood_103.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[232.96607205316576, 226.86539275786464, 223.82840890263498]",https://a-bly.com/app/goods/4096563,상세페이지 참조,./images/ably/Hood/Hood_104.jpg
의류,상의,후드,상세페이지 참조,"오트밀,그레이,블랙","[20.220753305081615, 23.744055042817976, 31.990001662938468]",https://a-bly.com/app/goods/3550472,상세페이지 참조,./images/ably/Hood/Hood_105.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[165.6308750040911, 171.5292974491345, 175.57762027631892]",https://a-bly.com/app/goods/3660530,상세페이지 참조,./images/ably/Hood/Hood_106.jpg
의류,상의,후드,71,"그레이,블랙,베이지,레드,네이비,핑크,챠콜,블루","[221.27594849192712, 216.49281249098956, 205.19067784404083]",https://a-bly.com/app/goods/473374,59,./images/ably/Hood/Hood_107.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[166.16813016528994, 135.5274682703659, 103.59476461038996]",https://a-bly.com/app/goods/4250723,상세페이지 참조,./images/ably/Hood/Hood_108.jpg
