상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[135.2694086152348, 130.3407818757061, 121.00962410672871]",https://a-bly.com/app/goods/805877,상세페이지 참조,./images/ably/field/field_178.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[117.53834096937243, 112.05471827023582, 87.59123060846625]",https://a-bly.com/app/goods/1308513,상세페이지 참조,./images/ably/field/field_179.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[197.1135616987171, 198.85378605768457, 197.3827323717996]",https://a-bly.com/app/goods/2080553,상세페이지 참조,./images/ably/field/field_180.jpg
의류,아우터,야상,50,"아이보리,베이지,라이트그레이,블랙","[151.42946689630412, 135.7037289221753, 116.14060559939261]",https://a-bly.com/app/goods/1329991,44,./images/ably/field/field_181.jpg
의류,아우터,야상,62,"베이지, 블랙","[135.80616042291058, 134.3026966163459, 124.4993415904876]",https://a-bly.com/app/goods/687642,50,./images/ably/field/field_182.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[27.730616456022076, 28.59719714555648, 32.14009113575587]",https://a-bly.com/app/goods/1952055,상세페이지 참조,./images/ably/field/field_183.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[217.64072584600086, 217.93753800882666, 220.87958803334288]",https://a-bly.com/app/goods/3832763,상세페이지 참조,./images/ably/field/field_184.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[195.7853875310397, 177.99663442687051, 162.06672330413897]",https://a-bly.com/app/goods/3770586,상세페이지 참조,./images/ably/field/field_185.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[153.25560303239374, 137.27123363197913, 115.63859407305178]",https://a-bly.com/app/goods/1299532,상세페이지 참조,./images/ably/field/field_186.jpg
의류,아우터,야상,47,카키 블랙,"[119.81737513732566, 120.2787754584624, 97.95575931716968]",https://a-bly.com/app/goods/1295784,57,./images/ably/field/field_187.jpg
의류,아우터,야상,상세페이지 참조,FREE,"[204.2726728102475, 188.79874191673147, 183.96331471464043]",https://a-bly.com/app/goods/3814025,상세페이지 참조,./images/ably/field/field_188.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[30.80153060226408, 34.94809261904696, 33.053062183149635]",https://a-bly.com/app/goods/2017766,상세페이지 참조,./images/ably/field/field_189.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[22.0273239739887, 16.641377329368026, 15.887867581049278]",https://a-bly.com/app/goods/2327398,상세페이지 참조,./images/ably/field/field_190.jpg
의류,아우터,야상,상세페이지 참조,"아이보리,베이지,블랙","[214.19657142857346, 215.56822408963973, 216.1292773109224]",https://a-bly.com/app/goods/816615,상세페이지 참조,./images/ably/field/field_191.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[157.25347800639022, 143.6532123722443, 129.00047273873804]",https://a-bly.com/app/goods/933598,상세페이지 참조,./images/ably/field/field_192.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/3689218,상세페이지 참조,./images/ably/field/field_193.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[158.8371302621396, 152.59329676616105, 146.3041020291406]",https://a-bly.com/app/goods/3278529,상세페이지 참조,./images/ably/field/field_194.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[143.17731177829177, 135.49298845265477, 129.1778290993056]",https://a-bly.com/app/goods/2283582,상세페이지 참조,./images/ably/field/field_195.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[218.99081501684572, 215.55468875340313, 208.83370768490337]",https://a-bly.com/app/goods/90615,상세페이지 참조,./images/ably/field/field_196.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[124.03536761362543, 111.6156613882151, 101.16288080975835]",https://a-bly.com/app/goods/3860558,상세페이지 참조,./images/ably/field/field_197.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[223.18164352458078, 218.46642214654398, 208.4474063400574]",https://a-bly.com/app/goods/3576360,상세페이지 참조,./images/ably/field/field_198.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[213.91473810549306, 211.85428079030538, 208.12791592293584]",https://a-bly.com/app/goods/397042,상세페이지 참조,./images/ably/field/field_199.jpg
